date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,us_aqi,european_aqi,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure,unhealthy_air
2013-01-17,13.191666666666668,6.504166666666666,243.16666666666663,12.9875,6.316666666666666,61.16666666666666,0.5,46.5,28.041666666666668,Partly cloudy,1.01,12,9,08:26:00,18:3:00,11:20:00,,30,77,1007,0
2013-01-18,17.79583333333333,8.987499999999999,243.16666666666663,17.7125,6.316666666666666,56.708333333333336,0.5,32.333333333333336,22.625,Overcast,0.0,13,10,08:25:00,18:4:00,11:50:00,12:38:00,19,72,1004,0
2013-01-19,15.025,6.529166666666666,243.16666666666663,11.504166666666668,6.316666666666666,60.41666666666666,0.5,33.083333333333336,24.125,Sunny,0.04,11,9,08:25:00,18:5:00,0:21:00,1:39:00,34,77,1003,0
2013-01-20,21.804166666666664,10.820833333333333,243.16666666666663,17.3125,6.316666666666666,51.41666666666666,0.5,35.583333333333336,20.83333333333333,Partly cloudy,0.04,12,8,08:24:00,18:6:00,0:56:00,2:37:00,29,79,1011,0
2013-01-21,29.9875,16.504166666666666,243.16666666666663,21.9625,6.316666666666666,45.375,0.5,49.625,24.791666666666668,Sunny,0.0,13,10,08:24:00,18:7:00,13:34:00,3:33:00,16,70,1011,0
2013-01-22,25.65833333333333,13.833333333333334,243.16666666666663,24.45,6.316666666666666,41.5,0.5,63.54166666666666,36.75,Sunny,0.78,13,10,08:23:00,18:9:00,14:17:00,4:27:00,24,73,1006,0
2013-01-23,20.55,9.079166666666667,243.16666666666663,15.708333333333334,6.316666666666666,63.75,0.5,42.833333333333336,26.20833333333333,Sunny,0.61,12,10,08:22:00,18:10:00,15:4:00,5:18:00,27,78,1010,0
2013-01-24,28.675,21.15833333333333,243.16666666666663,30.97083333333333,6.316666666666666,38.583333333333336,0.5,47.41666666666666,25.0,Cloudy,0.26,12,9,08:22:00,18:11:00,15:56:00,6:5:00,17,71,1011,0
2013-01-25,22.34583333333333,14.6375,243.16666666666663,27.575,6.316666666666666,46.375,0.5,66.58333333333333,41.66666666666666,Sunny,1.16,12,9,08:21:00,18:12:00,16:52:00,6:47:00,23,77,1004,0
2013-01-26,27.791666666666668,19.666666666666668,243.16666666666663,27.391666666666666,6.316666666666666,31.125,0.5,65.08333333333333,39.458333333333336,Cloudy,0.18,10,7,08:20:00,18:14:00,17:50:00,7:26:00,26,90,1005,0
