date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2013-01-01,32.69047619047619,18.98095238095238,,25.44285714285714,,24.666666666666668,,,,,
2013-01-02,90.81666666666666,68.87083333333332,,57.74166666666667,,11.791666666666666,,,,107.9047619047619,69.42857142857143
2013-01-03,85.12083333333334,68.25833333333334,,54.12916666666666,,8.041666666666666,,,,163.625,105.125
2013-01-04,58.01666666666667,47.86666666666667,,33.49166666666667,,27.625,,,,149.5,86.375
2013-01-05,37.275,34.1,,36.583333333333336,,21.0,,,,99.625,67.91666666666667
2013-01-06,23.854166666666668,19.0125,,28.329166666666666,,23.625,,,,89.91666666666667,62.458333333333336
2013-01-07,16.925,13.391666666666666,,22.516666666666666,,27.666666666666668,,,,56.083333333333336,29.791666666666668
2013-01-08,15.158333333333333,7.183333333333334,,11.441666666666665,,39.375,,,,38.666666666666664,19.625
2013-01-09,26.620833333333334,19.904166666666665,,25.816666666666666,,29.958333333333332,,,,40.708333333333336,21.083333333333332
2013-01-10,34.449999999999996,28.516666666666666,,29.150000000000002,,30.416666666666668,,,,89.75,62.833333333333336
2013-01-11,14.204166666666666,10.475,,10.85,,58.583333333333336,,,,59.791666666666664,36.291666666666664
2013-01-12,19.787499999999998,14.429166666666667,,30.229166666666668,,40.416666666666664,,,,44.416666666666664,24.916666666666668
2013-01-13,33.15416666666667,18.916666666666668,,28.408333333333335,,26.041666666666668,,,,57.833333333333336,31.416666666666668
2013-01-14,64.39166666666667,51.42916666666667,,47.012499999999996,,16.166666666666668,,,,98.70833333333333,64.66666666666667
2013-01-15,58.362500000000004,51.37083333333334,,44.2125,,13.625,,,,150.5,86.79166666666667
2013-01-16,24.712500000000002,23.679166666666664,,22.96666666666667,,33.75,,,,103.45833333333333,69.125
2013-01-17,13.191666666666668,6.504166666666666,,12.987499999999999,,61.166666666666664,,,,46.5,28.041666666666668
2013-01-18,17.79583333333333,8.987499999999999,,17.7125,,56.708333333333336,,,,32.333333333333336,22.625
2013-01-19,15.025,6.529166666666666,,11.504166666666668,,60.416666666666664,,,,33.083333333333336,24.125
2013-01-20,21.804166666666664,10.820833333333333,,17.3125,,51.416666666666664,,,,35.583333333333336,20.833333333333332
2013-01-21,29.9875,16.504166666666666,,21.962500000000002,,45.375,,,,49.625,24.791666666666668
2013-01-22,25.65833333333333,13.833333333333334,,24.45,,41.5,,,,63.541666666666664,36.75
2013-01-23,20.55,9.079166666666667,,15.708333333333334,,63.75,,,,42.833333333333336,26.208333333333332
2013-01-24,28.675,21.158333333333335,,30.97083333333333,,38.583333333333336,,,,47.416666666666664,25.0
2013-01-25,22.34583333333333,14.637500000000001,,27.575,,46.375,,,,66.58333333333333,41.666666666666664
2013-01-26,27.791666666666668,19.666666666666668,,27.391666666666666,,31.125,,,,65.08333333333333,39.458333333333336
2013-01-27,19.879166666666666,7.3500000000000005,,14.9,,48.625,,,,48.666666666666664,26.333333333333332
2013-01-28,51.05833333333334,35.016666666666666,,30.791666666666668,,27.458333333333332,,,,57.0,36.541666666666664
2013-01-29,33.94166666666667,23.03333333333333,,25.55,,28.166666666666668,,,,93.54166666666667,64.66666666666667
2013-01-30,62.0375,53.82916666666667,,48.81666666666666,,20.291666666666668,,,,100.58333333333333,67.25
2013-01-31,56.645833333333336,41.166666666666664,,41.09583333333333,,26.25,,,,146.79166666666666,84.54166666666667
2013-02-01,20.708333333333332,13.487499999999999,,24.208333333333332,,40.208333333333336,,,,74.75,47.708333333333336
